run,competition,variant,k,cum_hours,score,medal,lower_better,file,note,metric_version,grader_sha256,mlebench_version,mlebench_commit
20260804_063628_spooky-base,spooky-author-identification,uncapped,4,3.63,0.32504,above-med,1,top4ens-total_run_time3.63h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_063628_spooky-base,spooky-author-identification,uncapped,5,4.58,0.32486,above-med,1,top5ens-total_run_time4.58h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_063628_spooky-base,spooky-author-identification,uncapped,6,4.63,0.32576,above-med,1,top6ens-total_run_time4.63h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_063628_spooky-base,spooky-author-identification,uncapped,7,4.84,0.32854,above-med,1,top7ens-total_run_time4.84h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_063628_spooky-base,spooky-author-identification,uncapped,8,4.93,0.32981,above-med,1,top8ens-total_run_time4.93h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_063628_spooky-base,spooky-author-identification,uncapped,9,4.97,0.33165,above-med,1,top9ens-total_run_time4.97h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,capped,1,1.94,0.23663,silver,1,top1ens-total_run_time1.94h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,capped,2,2.44,0.24468,silver,1,top2ens-total_run_time2.44h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,capped,3,3.55,0.24788,silver,1,top3ens-total_run_time3.55h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,capped,4,4.14,0.24341,silver,1,top4ens-total_run_time4.14h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,capped,6,6.24,0.24683,silver,1,top6ens-total_run_time6.24h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
20260804_181406_spooky-base,spooky-author-identification,uncapped,10,10.74,0.25449,silver,1,top10ens-total_run_time10.74h.csv,,mlebench-unmodified,a95bd5969572fe4d2224dd010640f316a83ea55810bdff91b39a705db0305f59,1.0.0,
